ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
ADBE,244.66,0.0,99732455424,404200000,28.16,Technology,Adobe Inc.,23.48673,0.12276336467443527,0.11412806344343675,0.1013410764540762,2026-04-15
AMD,258.12,0.0,420841652224,1630338779,38.65,Technology,"Advanced Micro Devices, Inc.",6.6902,0.6191683357747153,0.14972993636763524,0.13262675054861284,2026-04-15
ABNB,137.51,0.0,82439168000,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.92726,0.16354119733888606,0.06997969709616672,0.06182391153758186,2026-04-15
ALNY,333.39,0.0,44483534848,133427910,5.962,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.24489,0.5270078930090027,0.017882958315660155,0.11932644867334508,2026-04-15
GOOGL,337.12,0.84,4078140653568,5822000000,34.353,Communication Services,Alphabet Inc.,11.49468,0.16105102534389815,0.04904273368428711,0.060320614631954705,2026-04-15
GOOG,334.47,0.84,4046083850240,5438000000,34.353,Communication Services,Alphabet Inc.,11.61171,0.15775023661458998,0.04617096948915653,0.060403418053246116,2026-04-15
AMZN,248.5,0.0,2672431464448,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76633,0.2198297007724368,0.1541488995668535,0.06690346735394892,2026-04-15
AEP,134.39,3.8,73049489408,543563480,57.571,Utilities,American Electric Power Company,6.36333,0.0788659396888105,0.4283875679444913,0.06493791380344327,2026-04-15
AMGN,348.22,10.08,187714142208,539067675,16.069,Healthcare,Amgen Inc.,22.37111,0.03983217640966408,0.04614611540550102,0.06582605741802772,2026-04-15
ADI,347.94,4.07,169865756672,488204157,69.207,Technology,"Analog Devices, Inc.",11.45816,0.1393635627360763,0.1989049809417435,0.058323920983848976,2026-04-15
AAPL,266.43,1.04,3915968151552,14681140000,5.998,Technology,Apple Inc.,8.50885,0.09716354148915518,0.022486770655961677,0.04586191889949011,2026-04-15
AMAT,394.26,2.12,312888623104,793609867,27.365,Technology,"Applied Materials, Inc.",11.06664,0.2656759413878105,0.0694085128280184,0.07377697377138662,2026-04-15
APP,464.63,0.0,157024043008,307070000,6.31,Communication Services,Applovin Corporation,15.77059,0.3069143259700493,0.012339586109760802,0.08782382655103557,2026-04-15
ARM,159.34,0.0,169218850816,1061998569,7.343,Technology,Arm Holdings plc,1.7629,0.21623461342106753,0.04608384618239978,0.03244074458578028,2026-04-15
ASML,1481.77,8.79,581829853184,385417665,58.892403,Technology,ASML Holding N.V. - New York Re,30.04301,0.29008611320902933,0.039011701318324835,0.064430099854068,2026-04-15
TEAM,66.0,0.0,17407109120,169610457,5.992,Technology,Atlassian Corporation,4.76009,0.15979109638683298,0.05838452848993228,0.09519605839013334,2026-04-15
ADSK,239.32,0.0,50735841280,211000000,14.363,Technology,"Autodesk, Inc.",12.41885,0.13399549877806716,0.059732783049261384,0.07173829393221076,2026-04-15
ADP,196.92,6.8,79644041216,402644364,15.864,Technology,"Automatic Data Processing, Inc.",10.96599,0.09112173182722216,0.08020123154188691,0.07831609910297954,2026-04-15
AXON,402.18,0.0,32334336000,80397675,40.426,Industrials,"Axon Enterprise, Inc.",7.78547,0.3575134192283831,0.10051718425731705,0.0697919031922859,2026-04-15
BKR,60.07,0.92,59574865920,991757347,19.086,Energy,Baker Hughes Company,2.48004,0.1446347639554202,0.31772930467456434,0.07046786316530562,2026-04-15
